"","samplingProtocol","Grouping","species","labelit","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"1","RedNiebla_Av","Bosque Ripario_NA","Carollia perspicillata",TRUE,1,118,37.3,NA,NA,37.3,2.1,4.5
"2","RedNiebla_Av","Bosque Ripario_NA","Artibeus lituratus",TRUE,2,45,14.2,NA,NA,51.6,1.7,9.1
"3","RedNiebla_Av","Bosque Ripario_NA","Carollia brevicauda",TRUE,3,34,10.8,NA,NA,62.3,1.5,13.6
"4","RedNiebla_Av","Bosque Ripario_NA","Artibeus planirostris",FALSE,4,30,9.5,NA,NA,71.8,1.5,18.2
"5","RedNiebla_Av","Bosque Ripario_NA","Phyllostomus discolor",FALSE,5,28,8.9,NA,NA,80.7,1.4,22.7
"6","RedNiebla_Av","Bosque Ripario_NA","Phyllostomus hastatus",FALSE,6,11,3.5,NA,NA,84.2,1,27.3
"7","RedNiebla_Av","Bosque Ripario_NA","Glossophaga soricina",FALSE,7,10,3.2,NA,NA,87.3,1,31.8
"8","RedNiebla_Av","Bosque Ripario_NA","Carollia castanea",FALSE,8,10,3.2,NA,NA,90.5,1,36.4
"9","RedNiebla_Av","Bosque Ripario_NA","Rhogeessa io",FALSE,9,5,1.6,NA,NA,92.1,0.7,40.9
"10","RedNiebla_Av","Bosque Ripario_NA","Lophostoma brasiliense",FALSE,10,5,1.6,NA,NA,93.7,0.7,45.5
"11","RedNiebla_Av","Bosque Ripario_NA","Sturnira giannae",FALSE,11,4,1.3,NA,NA,94.9,0.6,50
"12","RedNiebla_Av","Bosque Ripario_NA","Noctilio leporinus",FALSE,12,3,0.9,NA,NA,95.9,0.5,54.5
"13","RedNiebla_Av","Bosque Ripario_NA","Micronycteris microtis",FALSE,13,2,0.6,NA,NA,96.5,0.3,59.1
"14","RedNiebla_Av","Bosque Ripario_NA","Uroderma convexum",FALSE,14,2,0.6,NA,NA,97.2,0.3,63.6
"15","RedNiebla_Av","Bosque Ripario_NA","Myotis nigricans",FALSE,15,2,0.6,NA,NA,97.8,0.3,68.2
"16","RedNiebla_Av","Bosque Ripario_NA","Desmodus rotundus",FALSE,16,1,0.3,NA,NA,98.1,0,72.7
"17","RedNiebla_Av","Bosque Ripario_NA","Artibeus jamaicensis cf. jamaicensis",FALSE,17,1,0.3,NA,NA,98.4,0,77.3
"18","RedNiebla_Av","Bosque Ripario_NA","Saccopteryx leptura",FALSE,18,1,0.3,NA,NA,98.7,0,81.8
"19","RedNiebla_Av","Bosque Ripario_NA","Saccopteryx canescens",FALSE,19,1,0.3,NA,NA,99.1,0,86.4
"20","RedNiebla_Av","Bosque Ripario_NA","Myotis riparius",FALSE,20,1,0.3,NA,NA,99.4,0,90.9
"21","RedNiebla_Av","Bosque Ripario_NA","Artibeus anderseni",FALSE,21,1,0.3,NA,NA,99.7,0,95.5
"22","RedNiebla_Av","Bosque Ripario_NA","Micronycteris hirsuta",FALSE,22,1,0.3,NA,NA,100,0,100
"23","RedNiebla_Av","Palma_NA","Artibeus lituratus",TRUE,1,172,50.4,NA,NA,50.4,2.2,6.2
"24","RedNiebla_Av","Palma_NA","Carollia perspicillata",TRUE,2,86,25.2,NA,NA,75.7,1.9,12.5
"25","RedNiebla_Av","Palma_NA","Phyllostomus discolor",TRUE,3,17,5,NA,NA,80.6,1.2,18.8
"26","RedNiebla_Av","Palma_NA","Phyllostomus hastatus",FALSE,4,17,5,NA,NA,85.6,1.2,25
"27","RedNiebla_Av","Palma_NA","Carollia brevicauda",FALSE,5,13,3.8,NA,NA,89.4,1.1,31.2
"28","RedNiebla_Av","Palma_NA","Glossophaga soricina",FALSE,6,7,2.1,NA,NA,91.5,0.8,37.5
"29","RedNiebla_Av","Palma_NA","Uroderma convexum",FALSE,7,5,1.5,NA,NA,93,0.7,43.8
"30","RedNiebla_Av","Palma_NA","Noctilio leporinus",FALSE,8,5,1.5,NA,NA,94.4,0.7,50
"31","RedNiebla_Av","Palma_NA","Artibeus planirostris",FALSE,9,3,0.9,NA,NA,95.3,0.5,56.2
"32","RedNiebla_Av","Palma_NA","Lasiurus ega",FALSE,10,3,0.9,NA,NA,96.2,0.5,62.5
"33","RedNiebla_Av","Palma_NA","Lophostoma brasiliense",FALSE,11,3,0.9,NA,NA,97.1,0.5,68.8
"34","RedNiebla_Av","Palma_NA","Molossus molossus",FALSE,12,3,0.9,NA,NA,97.9,0.5,75
"35","RedNiebla_Av","Palma_NA","Eptesicus brasiliensis",FALSE,13,2,0.6,NA,NA,98.5,0.3,81.2
"36","RedNiebla_Av","Palma_NA","Noctilio albiventris",FALSE,14,2,0.6,NA,NA,99.1,0.3,87.5
"37","RedNiebla_Av","Palma_NA","Sturnira giannae",FALSE,15,2,0.6,NA,NA,99.7,0.3,93.8
"38","RedNiebla_Av","Palma_NA","Carollia castanea",FALSE,16,1,0.3,NA,NA,100,0,100
